evidence_id,source_file,insight_type,semantic_type,extraction_method,text,priority_score,confidence,suggested_narrative_use,source_location,ocr_used,dedup_merged_sources,dedup_merged_ids,downweighted_by_rule
E0135,amex_the_fork.docx,docx_insight,Claim,paragraph,"“Dining is one of the most important ways people engage with our brand,” said Rafa Marquez, President of International Card Services at American Express. “Over time, the proposed acquisition would help us enrich our differentiated Membership Model by offering Card Members more ways to discover, book and access great restaurants, while helping our partners reach more diners and grow their businesses. TheFork has built a successful platform across Europe with strong relationships throughout the restaurant industry that would complement our existing capabilities. We look forward to supporting TheFork’s continued growth and building on its success as we strengthen our dining presence across Europe.”",0.887,medium,What,DOCX,,,,
E0162,yahoo_finance_2.docx,docx_insight,Claim,paragraph,"For American Express, buying TheFork looks less like a standalone deal and more like another step in building a closed-loop dining and experiences ecosystem around its cards. By controlling reservation platforms such as Resy, Tock and now TheFork, the company gains more direct access to where and how cardmembers spend, while also offering restaurants tools that can tie payments, loyalty and customer data together. That fits with its recent focus on premium travel benefits, co-branded products such as the refreshed Delta SkyMiles cards, and partnerships like Fanatics, all of which push toward higher engagement and card-on-file usage. The all-cash price of US$700 million is meaningful but sits alongside a recent €750 million eurobond issue and an affirmed US$0.95 quarterly dividend, suggest…",0.887,medium,What,DOCX,,,,
E0054,EX-10.1.pdf,pdf_page_insight,Claim,text_layer,"Page 54: until the Closing, or the earlier termination of this Agreement in accordance with Article VIII, the Company shall (and shall cause each of its
Subsidiaries to) conduct its business only in the Ordinary Course of Business and use commercially reasonable efforts to (i) preserve its current
relationships with customers, employees, suppliers and others having material business dealings with it, (ii) maintain its books and records in the usual,
regular and ordinary manner, on a basis consistent with past practice, (iii) preserve the goodwill and ongoing operations of its business and (iv) preserve
the confidentiality of any material Trade Secrets included in the Company-Owned Intellectual Property (except those contained in any materials filed
with the United States Patent and Tradem…",0.83,high,What,Page 54,False,,,
E0087,EX-99.1.pdf,pdf_page_insight,Claim,text_layer,"Page 1: EX-99.1 3 d156418dex991.htm EX-99.1
Exhibit 99.1
Tripadvisor Enters into Agreement to Sell TheFork to American Express for $700 Million
Transaction highlights the value of Tripadvisor’s portfolio and enables greater focus on experiences
NEEDHAM, Mass., June 15, 2026 (PRNewswire) — Tripadvisor, Inc. (NASDAQ: TRIP) (the “Company”) today announced it has entered into a put
option agreement to sell TheFork, its online restaurant reservation and management platform in Europe, to American Express for $700 million in an
all-cash transaction.
The agreement follows Tripadvisor’s February 2026 announcement that it would explore strategic alternatives for TheFork. It recognizes the value
created in the business over more than a decade, and allows Tripadvisor to focus even more fully on its E…",0.83,high,What,Page 1,False,,,
E0088,EX-99.1.pdf,pdf_page_insight,Claim,text_layer,"Page 2: Note on Segment Adjusted EBITDA
We refer to segment adjusted EBITDA as a measure of segment profitability because it is the measure of profit or loss for our reportable segments
provided to our Chief Operating Decision Maker (CODM) in accordance with U.S. GAAP for segment reporting. Segment adjusted EBITDA is a key
performance measure used by our CODM and Board of Directors to evaluate our individual operating segments. We define adjusted EBITDA as net
income (loss) plus: (1) (provision) benefit for income taxes; (2) other income (expense), net; (3) depreciation and amortization; (4) stock-based
compensation; (5) goodwill, long-lived asset, and intangible asset impairments; (6) legal reserves, settlements and other (including indirect tax reserves
related to audit settlements and …",0.83,high,What,Page 2,False,,,
E0089,EX-99.1.pdf,pdf_page_insight,Risk,text_layer,"Page 3: Key factors that could cause such differences include: whether or when the required employee works council consultation processes are completed; the
ability of the parties to successfully execute a definitive purchase agreement following exercise of the put option; the satisfaction of closing conditions,
including obtaining regulatory and antitrust approvals; difficulties or unexpected costs relating to segregating the integrated technology data and
platform of TheFork from our retained operations and anticipated benefits for Tripadvisor as a result of the proposed transaction do not fully materialize;
risks related to disruption of management time; the operational risk of running our core business without the integrated data platform of TheFork; and
the potential for material adj…",0.83,high,What,Page 3,False,,,
E0090,Final 15 YEARS PRESS RELEASE  (1).pdf,pdf_page_insight,Claim,text_layer,"Page 1: TheFork celebrates its 15th anniversary, marked by the digitalization of
restaurant industry and revolution in consumption habits
With more than 420 million guests sent to restaurants in 15 years, TheFork has disrupted the
restaurant industry by driving and supporting the digitalization of the sector, and has
established itself in the daily lives of Europeans as their favorite application for dining out.
On the occasion of this anniversary, TheFork takes stock of the evolution of the industry
through a study in partnership with EuroMonitor, and presents the next trends and innovations
to come
Created from a strong ambition in 2007, that of offering a new way to foster relationships between
restaurants and diners, TheFork has revolutionized the industry by offering a new model, uni…",0.83,high,What,Page 1,False,,,
E0091,Final 15 YEARS PRESS RELEASE  (1).pdf,pdf_page_insight,Claim,text_layer,"Page 2: Value Add of Europe in 2019.
●
In 2020, COVID-19 induced lockdowns and restrictions. With prohibitions for eating out at
restaurants, consumer foodservice in Europe declined by approximately 38% in value sales in
2019-20. However, over the 2020-2021 period, as countries across Europe ease
restrictions and consumers return to food outlets, consumer foodservice grew by
approximately 23% to €250 billion in sales in 2021 and employed over 6.4 million
people.
Category overview (Euromonitor data**)
●
Full-service restaurants continue to be the dominant foodservice format across
Europe, contributing in 2021 €97 Billion in value sales (approximately 39% of value
share) , with more than 326,000 outlets.
●
Limited-service restaurants (fast food and 100% home delivery/takeaway outlet), the s…",0.83,high,What,Page 2,False,,,
E0092,Final 15 YEARS PRESS RELEASE  (1).pdf,pdf_page_insight,Claim,text_layer,"Page 3: In addition to the innovations on TheFork Pay, the company is also accelerating the development of
its Gift Card, the first gift card that allows users to enjoy a restaurant experience in more than 25,000
partner restaurants including MICHELIN ones. This product has been designed from the beginning to
support the industry. Launched during the epidemic, 100% of the amount of the Gift Card is for the
Restaurant. The ambition is to inject cash into the industry and generate additional sources of income
for restaurateurs, as well as reach new customers and retain them. As the amount generated by the
gift card is valuable to support small local entities, TheFork, to boost its positive effects, also offered
this product to companies. The Gift Card allows them to thank their customers or…",0.83,high,What,Page 3,False,,,
E0096,the fork press kit 2023 new brand.pdf,pdf_ocr_page_insight,Claim,ocr,"Page 4: TheFork’'s growth skyrockets
The opportunity to join TripAdvisor in 2014 on this adventure
has enabled TheFork to leverage the global reach of the
world’s largest travel platform and to develop in new
markets. This acquisition brings together two companies that
share the same entrepreneurial culture and vision, where
customers come first.
2006 - 2014
Roots and foundations
2006 Origin of LaFourchette & Alain Ducasse idea
2007 Launch of official business & website in France & Spain
2011 Launch of TheFork app
2012 TheFork hits 10 million bookings & launch of Switzerland
2014 «TripAdvisor acquires LaFourchette & launch of Belgium
2014 - 2015
internationalisation, launches and
acquisitions
italy, Sweden, Portugal, Australia, Netherlands.
2016 - 2018
Consolidation & Diversification
Fran…",0.83,medium,What,Page 4,True,,,
